word,remarks
acknowledge,…の存在［正しさ］を認める
adjust,…を調節する 順応する
advise,…にアドバイスする［勧める］
amuse,…を楽しませる
analyze,…を分析する
assure,…に～だとして安心させる
astonish,…をびっくりさせる
beg,…を乞う
bend,…を曲げる
blink,まばたきをする まばたき
bow,お辞儀をする お辞儀
broadcast,…を放送する
burst,破裂する …を破裂させる
bury,…を埋める
capture,…を捕える
cease,…をやめる 終わる
celebrate,…を祝う
characterize,…を特徴づける
cling,しがみつく 固執する
commit,＜罪など＞を犯す
confine,…を限る …を閉じこめる
confirm,…を確認する
confront,…を直面させる
constitute,…を構成する
convert,…を変える 変わる
cultivate,…を耕作する …を栽培する
cure,…を治療する
dare,思い切って…する 生意気にも…する
delay,…を遅らせる
deliver,…を配達する
depress,…を落胆させる
devise,…を考え出す
diminish,減る …を減らす
disagree,一致しない
discourage,…をがっかりさせる
dominate,…を支配する
dwell,住む
eliminate,…を取り除く
embarrass,…を恥ずかしがらせる …にばつの悪い思いをさせる
endure,…に耐える
ensure,…を確実にする …を保証する
equip,…に備え付ける［身につけさせる］
evolve,進化する
exhaust,…を疲れ果てさせる …を使い果たす
exhibit,…を表に出す …を展示する
fascinate,…を魅了する
float,浮かぶ
fold,…を折りたたむ
found,…を設立する
fulfill,…を果たす …をかなえる
gaze,じっと見つめる
generate,…を発生させる
grasp,…をつかむ …を理解する
guarantee,…を保証する
guard,…の警護［監視］をする／ 警護者 監視者
illustrate,…を詳しく説明する
imitate,…を模倣する
impose,…を課す
inclined,傾いている 傾向がある
industrialize,…を産業化［工業化］する
inspire,…を鼓舞する
interfere,干渉する 阻害する
interrupt,…の邪魔をする …を中断させる
investigate,（…を）調査する
justify,…を正当化する
leap,跳ぶ
melt,溶ける …を溶かす
misunderstand,…を誤解する
neglect,…の世話を怠る …を省みない
nod,うなずく
offend,…の気分を害する
originate,起こる 生じる
overlook,…を見落とす …を見過ごす
owe,…に金を借りている
pour,…を注ぐ
pray,祈る
proceed,進む
protest,抗議する 抗議
rank,階級 地位
relieve,…を和らげる …から取り除く
request,…を依頼する 依頼
resist,…を拒む …に抵抗する
resolve,…を解決する 決心する
restrict,…を制限する
retain,…を保持する
review,論評 批評／ …を論評する …を検討する
ruin,…を台無しにする
scare,…を怯えさせる …をびっくりさせる
scatter,…をまき散らす
scream,金切り声を上げる
secure,…を確保する …を安全にする／ ゆるぎない
specialize,専門にする 専攻する
spoil,…を台無しにする
strengthen,…を強化する
substitute,…を代わりに使う／ 代わり
suppress,…を抑える
swallow,…を飲み込む
sweep,…を掃く …を掃くように動かす
trace,…の跡［起源］を辿る／ 跡 痕跡
undergo,…を経験する
urge,…を（強く）促す［要請する］／願望
wander,ぶらつく 放浪する
weigh,…の重さがある
whisper,ささやく
yell,大声を上げる
absence,不在 欠如
accent,（ことばの）なまり 抑揚
acceptance,受け入れ
access,アクセス 使用［閲覧］する機会［権利］
acquaintance,知り合い
affection,愛情
aggression,攻撃性
alarm,懸念／ …に懸念を抱かせる
ambition,夢 大望
appetite,食欲
application,応用 適用
appointment,約束
arrangement,準備 取り決め
athlete,運動選手
avenue,…通り 大通り
band,（音楽の）バンド 一団
border,国境
burden,重荷 負担
campaign,政治的運動
candidate,候補者 志願者
cash,現金
category,部門 部類
cave,ほら穴
cell,細胞
charm,魅力／ …を魅了する
colleague,同僚
colony,植民地
committee,委員会
companion,連れ 仲間
comparison,比較
complaint,不満
complexity,複雑さ
composition,構成 楽曲
confusion,混乱
construction,建設 構造
contract,契約
convention,しきたり （大規模な）会議
courage,勇気
crash,衝突／ 衝突する
crew,乗組員 一団
critic,批評家 批判者
description,説明 描写
dialect,方言 なまり
dignity,威厳 尊厳
disadvantage,不利 デメリット
dispute,争議 口論
division,分割 部門
divorce,離婚
document,文書
ecology,生態（学）
economics,経済学
editor,編集者
emotion,感情
emperor,皇帝 天皇
enterprise,会社 事業
enthusiasm,情熱 熱意
equality,平等
era,時代
exception,例外
executive,幹部 重役
expense,費用 出費 犠牲
explosion,爆発
extinction,絶滅
facility,施設 設備
fairy,妖精
flame,炎
fortune,運 財産
foundation,土台 根拠 設立
frontier,国境 辺境
fund,資金 基金
funeral,葬式
fur,毛皮
furniture,家具 調度品
garbage,（生）ゴミ くず
gene,遺伝子
globe,地球
grave,墓／ 深刻な
ground,根拠 理由
harmony,調和
harvest,収穫／ …を収穫する
honor,名誉 敬意
hunger,飢え 空腹
immigration,（他国からの）移住
impulse,衝動
incident,事件
infant,幼児
inhabitant,（ある場所の）居住者 生息動物
injury,けが
insect,昆虫
insight,深く正確な理解 洞察（力）
instinct,本能
institution,制度 慣習 （重要な）施設
instrument,道具 器具
insurance,保険
introduction,紹介 導入
investment,投資
liberty,自由
limitation,制限 制約
load,積み荷／ …を積む
location,位置 場所
logic,論理 理屈
lord,封建君主 …卿 （大文字で）神
lung,肺
luxury,贅沢 贅沢品
mail,郵便／ …を投函する
mammal,哺乳動物
mineral,鉱物
minority,少数派
mood,気分
motive,動機
myth,神話
neighbor,近所の人
nerve,神経
obligation,義務
orbit,軌道
output,生産量 産出量
owner,所有者
participant,参加者
passion,熱望 強い関心
patience,辛抱強さ 忍耐
perception,洞察（力） 知覚
perspective,見地 視座
pile,積み重ね 「山」
pioneer,開拓者 先駆者
poison,毒
portion,部分
possession,所有 所有物
preference,好み
prejudice,先入観 偏見
privilege,特権
profession,職業
pronunciation,発音
prospect,見通し 見込み
punishment,罰
pursuit,追跡 追求
ray,光線
recognition,その人［それ］だとわかること
reference,言及 参照
reflection,反映 反射
relief,安堵 軽減
requirement,要求される事柄 必要なもの
resident,居住者
ritual,儀式
root,根 根源／ …を根づかせる
sacrifice,犠牲／ …を犠牲にする
scholar,学者
seed,種子
servant,使用人 お手伝い
shade,日陰
shame,恥 不名誉 残念なこと
shelter,避難 避難場所
shore,岸 海岸
similarity,類似（点）
site,場所 用地
specialist,専門家 専門医
statistics,統計
steam,蒸気
strip,細長い一片［地域］／ …をはぎ取る
stuff,モノ
suburb,郊外
tale,お話
telescope,望遠鏡
tension,緊張
territory,領土
text,本文 書かれたもの
tide,潮 風潮
tip,先 先端
tone,音 音色 （声・ことばの）調子
traffic jam,交通渋滞
tragedy,悲劇
trail,通った跡 でこぼこ道
trait,特性 特徴
transportation,輸送
trap,わな …をわなにかける
treasure,宝 財宝
trial,裁判 試み
trick,…をだます／ 手品 こつ
unemployment,失業
version,…版 別形式
virtue,徳 美徳 長所
volunteer,ボランティア 志願兵
voyage,航海
wage,賃金
weapon,武器
Westerner,西洋人 西部に住む人
absolute,絶対的な 完全な
abstract,抽象的な
accustomed,慣れている
additional,追加の
adequate,十分な
aggressive,攻撃的な 積極的な
amazing,びっくりするような
annual,毎年の
apparent,外見上の 明らかな
artificial,人工的な
Atlantic,大西洋の
atomic,原子の 原子力の
awful,ひどい
based,基づいている
brilliant,すばらしい
calm,穏やかな 落ち着いた
casual,何気ない
civil,公民の （軍事に対し）民間の
classical,古典の 古典的な
definite,明確な
delicate,微妙な
democratic,民主主義の 民主的な
desirable,望ましい
dirty,汚れた
distinct,はっきり異なる
elaborate,手の込んだ
electrical,電気の
elementary,初歩の 基本の
equivalent,等しい 同等の
evident,明らかな
exact,正確な
excessive,過度の
external,外部の
frequent,頻繁な
generous,気前のよい
genuine,本物の 偽りのない
grand,壮大な
guilty,有罪の
identical,全く同じ
inevitable,避けられない
inferior,劣った
initial,当初の
inner,内部の
intimate,親密な
invisible,見えない
keen,切望した 熱意のある
latest,最新の 最近の
legal,法律の 合法な
liberal,（他の思想に）寛大な 自由主義的な
located,（ある場所に）位置する
logical,論理的な
long-term,長期的な
massive,巨大な 大規模な
mature,成熟した
mechanical,機械の 機械的な
minor,小さな 重要度の低い
mutual,相互の
numerous,多数の
odd,変な 奇数の／ （oddsで）可能性
overwhelming,圧倒的な
painful,苦痛な
passive,受身の 消極的な
peculiar,奇妙な
permanent,永久の 常設の
plain,簡素な 無地の／高原
precious,貴重な
precise,正確な
precisely,正確に
prime,主要な 最重要の
principal,第一の 主要な／ 校長 学長
profound,深い 大きな
racial,人種の
rational,理性的な
raw,生の 原料のままの
relative,相対的［比較的］な
reliable,頼りになる
remote,遠い
routine,いつもの／いつもの手順
rude,失礼な
satisfactory,満足のいく
sensible,分別［判断力］がある
spare,予備の／＜時間・手間＞をさく
spiritual,精神の 精神的な
steady,着実な
strict,厳しい 厳密な
subtle,微妙な
sufficient,十分な
tremendous,非常に大きな
tropical,熱帯（地方）の
ultimate,究極の
uncomfortable,心地の悪い
unexpected,予期せぬ
unlikely,可能性が低い
unpleasant,不愉快な
verbal,ことばの 口頭での
visual,視覚の 視覚的な
widespread,広範囲に渡る
aloud,声に出して
altogether,完全に
barely,かろうじて
commonly,一般に
consequently,その結果
deliberately,故意に
effectively,効果的に
essentially,本質的に
firmly,堅く 堅固に
increasingly,ますます
literally,文字通りに
practically,実質的に ほとんど
primarily,主として
readily,すぐに
regardless,かかわらず 関係なく
regularly,規則的に 定期的に
roughly,大雑把に
socially,社会的に
steadily,着実に
traditionally,伝統的に
undoubtedly,疑いなく
whereas,…である一方で
beneath,…の下に
