word,remarks
wine,ワイン
arrow,矢
branch,枝
taxi,タクシー
grape,ブドウ
snake,蛇
statue,像
brush,筆
palace,宮殿
London,ロンドン
zoo,動物園
entrance,入り口 入学
gym,体育館
tower,塔
Europe,ヨーロッパ
host,主人
dad,お父ちゃん
elephant,象
soup,スープ
tie,ネクタイ
fox,キツネ
jeans,ジーンズ
jam (food, traffic),ジャム 混雑
suit,スーツ
ticket,切符
Canada,カナダ
fence,塀
England,イングランド
Asia,アジア
hall,玄関の広間 ろうか
forest,森林
mom,おかあちゃん
engineer,エンジニア
policeman,警官
toy,おもちゃ
umbrella,かさ
frog,カエル
bottle,びん
ink,インク
sofa,ソファー
bomb,爆弾
China,中国
desert,砂漠
Australia,オーストラリア
beach,砂浜
theater,劇場
tent,テント
restaurant,レストラン
stranger,見知らぬ人
driver,運転手
enemy,敵
husband,夫
scientist,科学者
bathroom,浴室
runner,ランナー
artist,芸術家
visitor,訪問者
cousin,いとこ
sunset,日没
trade,貿易
match,試合 (sports)
death,死
habit,習慣
joy,喜び
blood,血
luck,運
fishing,魚釣り
president,大統領
merchant,商人
barber,床屋
army,陸軍
painter,画家
reporter,レポーター
God,神
century,世紀
goal,得点 ゴール
training,トレイニング
disease,病気
tour,小旅行
exam,試験
flight,飛行
film,映画
mind,精神
pain,痛み
crowd,群衆
guide,案内人
queen,女王
pal,友だち
captain,船長
neighbor,隣人
prince,王子
midnight,真夜中
play,劇 (drama)
tear,涙
concert,コンサート
action,行動
festival,祭り
pop,ポピュラー音楽
thought,考え
promise,約束
accident,事故
custom,習慣
waste,浪費
use,使用
reply,返事
race,競走 人種
stay,滞在
valley,谷
silver,銀
heaven,天
ocean,大洋
soil,土
billion,１０億
couple,一対
area,地域
calendar,カレンダー
signal,信号
discussion,討論
sign,合図 標識
volleyball,バレーボール
answer,答え
stop,停留所
courage,勇気
iron,鉄
universe,宇宙
silk,絹
wave,波
root,根
smoke,煙
course,進路
shade,陰
prize,賞
list,リスト
page,ページ
report,報告
step,足元 階段
secret,秘密
quiz,クイズ
care,世話 管理
rush,殺到
plant,植物
gas,ガス
climate,気候
jewel,宝石
rainbow,虹
weather,天気
model,模型
point,点
railway,鉄道
mark,印
bowl,鉢
lip,くちびる
net,網
melon,メロン
poem,詩
menu,メニュー
gram,グラム
cent,セント
address,住所
damage,被害
sort (of),種類
reason,理由，原因
kilometer,キロメートル
middle,中央
shock,ショック
centimeter,センチメートル
zone,地帯
toast,トースト
curtain,カーテン
juice,ジュース
honey,蜂蜜
goods,商品
sense,感じ
type,型
symbol,象徴
energy,エネルギー
position,位置（location） 地位（social position）
gray,灰色
bit,少し
matter,問題 困ったこと
power,力
sentence,文
yen,円
grade,評点 等級
plate,皿
cheese,チーズ
can,カン
treasure,宝物
hole,穴
price,価格
problem,問題
fact,事実
beauty,美
pair,一組
percent,パーセント
case,場合（situation） 容器（container）
spelling,綴り
meaning,意味
square,正方形
youth,若さ
order,注文する
wonder,不思議に思う
smell,においがする
kiss,キスをする
cross,横切る
select,選ぶ
awake,目が覚める
fill,いっぱいにする
print,印刷する
succeed,成功する
receive,受け取る
date,デートする
raise,(手などを)あげる 持ち上げる 育てる
exercise,練習する
return,帰る
destroy,破壊する
belong,ものである
realize,理解する，実現する
sound,(～のように)聞こえる
invent,発明する
solve,解決する
hurt,傷つける
knock,ノックする
touch,触れる 感動する
miss,間違う いなくてさみしく思う
reach,着く，届く
hand,手渡す
choose,選ぶ
share,分け合う
copy,模写する
boil,ゆでる 煮る
train,訓練する
cover,おおう
break,壊れる 破る
please,気に入る 喜ばせる
explain,説明する
bake,オーブンで焼く
discuss,話し合う
lie,横たわる ～にある
shake,震える
save,救う とっておく 節約する
hit,打つ
mix,混ぜる
blow,吹く
shoot,撃つ
fight,戦う
introduce,紹介する 初めて伝える
row,こぐ
drop,落とす
marry,結婚する
interested,興味のある
ashamed,恥じて
blind,目の見えない
gentle,やさしい
pleased,喜んで
monthly,月刊
open,開いている
flat,平らな
musical,音楽の～
noisy,騒がしい
holy,神聖な
lonely,淋しい ひとりの
merry,陽気な
living,生きている
personal,個人の
necessary,必要な
wild,荒々しい 野生の～
outside,外側の～
fresh,新鮮な
